StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,"Introduction ",Q11,Q15,Q17,Q17_5_TEXT,"Q16 ",Q30,Q34,Q34_5_TEXT,Q35,Q36,Q37,Q37_5_TEXT,Q38,Q39,Q40,Q40_5_TEXT,Q41,Q42,Q22,Q49,Q49_12_TEXT,Q21_1,Q21_2,Q78_1,Q78_2,Q78_3,Q47,Q23,Q23_10_TEXT,Q81,Q81_1_TEXT,Q82,Q82_1_TEXT,Q83,Q83_8_TEXT,Q20,Q25,Q25_13_TEXT,Q74,Q75,Q75_13_TEXT,Q84,Q85,Q64,Q65,Q65_13_TEXT,Q66,Q67,Q67_13_TEXT,Q68,Q69,Q70,Q71,Q76,Q77,Q72,Q73,Q73_13_TEXT,Q45,Q26,Q26_9_TEXT,Q27,Q27_8_TEXT,Q29,Q33,Q33_3_TEXT,Q46,Q32,Q32_7_TEXT,"Gender ",Q44,Nationality,Q43,Q43_13_TEXT,Q8,Q10,Q13,Q79,Q25,Q28,Q50,Q51,Q86,Q87,Q52,Q53,Q54,Q55,Q56,Q57,Q60,Q61,Q58,Q59,Q62,Q63,Q80
2025-04-22 08:06:59,2025-04-22 08:15:07,0,100,487,1,2025-04-22 08:15:07,R_4zooCL5O1WZcuQ6,anonymous,EN,1,1,1,"1,3",,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,2,3",13,,4,1,1,3,1,1,"1,2,3",,"2,5,6",,"2,4,5,6,7",,"1,4,5,6,7",,1,"2,8,11",,,,,,,,,,,,,,,,,,,,,,"1,2,7,6",1,,"1,2,9,5,6",,7,1,,2,2,,1,5,138,9,,1,5,20,4,Safety,More safe,,,,,,,,,,,,,,,,,4
2025-04-22 08:11:58,2025-04-22 08:17:19,0,100,320,1,2025-04-22 08:17:19,R_2RyJk1xYwa1EwAh,anonymous,EN,1,3,1,6,,2,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,3,13,,3,1,1,4,4,1,1,,2,,"2,4,5,6",,"1,4,5,6,7",,,,,,,,,,1,"7,14",,,,,,,,,,,,,,1,"1,2",,"1,2,9,3,4,5,6,7",,"1,6",1,,3,,,1,5,164,10,,1,7,16,6,,,,,,,The tracks and the comunity,More social rides outside,,,,,,,,,,,4
2025-04-22 08:12:55,2025-04-22 08:18:40,0,100,344,1,2025-04-22 08:18:41,R_9wULVZRQ2GWwqSR,anonymous,EN,1,3,1,1,,4,"1,2,3,4,5,10,11,12",,,,,,,,,,,,,"1,2,3",7,,4,1,1,1,1,1,"1,3",,2,,"2,4,6",,"1,4,5,6,7",,,,,,,,,,1,"7,14,13",Meydan to kite beach,,,,,,,,,,,,,1,1,,"1,2,9",,1,3,safety,2,"6,7","and weather ",1,4,95,10,,1,7,13,6,,,,,,,"dedicated tracks / lanes - ","infrastructure to allow cylcing as commuting method & a better weather. it's too hot . ",,,,,,,,,,,4
2025-04-22 08:23:15,2025-04-22 08:29:54,0,100,398,1,2025-04-22 08:29:55,R_9C4r2qaI8TFPTeS,anonymous,EN,1,3,1,"1,3,4",,2,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,2",13,,4,1,1,4,4,1,1,,"2,6",,7,,"1,6",,,,,,,,,,2,"7,14",,,,,,,,,,,,,,"1,2,3","5,6,9","Heat in the summer ","2,4,5,6",,7,1,,2,"1,3,6",,1,5,83,10,,7,7,44,7,,,,,,,The safe cycle tracks,"More granfondo starting in Dubai and crossing the other emirates ",,,,,,,,,,,4
2025-04-22 08:36:01,2025-04-22 08:39:50,0,100,228,1,2025-04-22 08:39:50,R_9uQiEcgLAfsjnan,anonymous,EN,1,1,1,1,,7,"1,2,11,12",,,,,,,,,,,,,"3,4",7,,4,4,1,4,4,2,,,,,2,,"4,5",,1,11,,,,,,,,,,,,,,,,,,,,,,"1,2,7","3,5",,2,,7,,,3,,,2,4,123,9,,4,8,46,5,Dedicated cycle area with no cars,,,,,,,,,,,,,,,,,,4
2025-04-22 08:30:12,2025-04-22 08:40:26,0,100,614,1,2025-04-22 08:40:26,R_943cTagJNmlMEcV,anonymous,EN,1,1,1,"1,2,3,4",,2,"1,2,3,4,5,9,10,11,12",,,,,,,,,,,,,"1,3,4",1,,4,3,1,4,3,1,"2,3,4,10",Fat Bike,"2,4,5,6,7",,"2,4,5,6,7",,"1,4,5,6,7",,3,"3,11,12",,,,,,,,,,,,,,,,,,,,,,"1,2,7","1,2,4",,"3,4,5",,"1,2",2,,2,3,,1,4,138,10,,1,7,,10,Availability of cycling tracks and lanes.,"Provide more bicycle parkings with shade/ protection. ",,,,,,,,,,,,,,,,,4
2025-04-22 08:45:59,2025-04-22 08:50:26,0,100,266,1,2025-04-22 08:50:26,R_9GrkCuLyN3J5nEY,anonymous,EN,1,3,1,"1,3",,3,"1,2,3,10,11,12",,,,,,,,,,,,,1,7,,4,1,1,2,3,1,1,,2,,7,,"1,6",,,,,,,,,,3,"7,14",,,,,,,,,,,,,,"1,2","1,2,3",,"2,9",,7,2,,2,"3,6",,1,3,9,9,,1,7,44,8,,,,,,,,Better infrastructure dedicated to cycling,,,,,,,,,,,4
2025-04-22 08:46:53,2025-04-22 08:52:15,0,100,321,1,2025-04-22 08:52:16,R_8rMuYgw16tTQI3C,anonymous,EN,1,3,1,"1,3,4",,3,"1,2,3,4,5,10,11,12",,,,,,,,,,,,,"1,3,4",1,,4,1,1,4,4,1,1,,8,,,,,,,,,,,,,,5,"7,14",,,,,,,,,,,,,,"1,2","2,3,8",,"2,9,4,5",,7,,,2,6,,1,4,83,9,,1,7,9,10,,,,,,,"Dedicated cycle tracks - meydan, al qudra etc ","SAFETY ",,,,,,,,,,,4
2025-04-22 08:47:00,2025-04-22 08:57:22,0,100,622,1,2025-04-22 08:57:22,R_42DGCCtiCmAXMRa,anonymous,EN,1,1,1,3,,1,12,,,,,,,,,,,,,1,7,,4,4,1,4,4,2,,,,,2,,1,,1,"7,11",,,,,,,,,,,,,,,,,,,,,,"1,2,7","1,2,3",,"1,2,9",,"1,2",1,,2,"1,2",,1,4,77,10,,1,4,45,9,peaceful ride,for good health,,,,,,,,,,,,,,,,,4
2025-04-22 08:55:41,2025-04-22 09:00:53,0,100,311,1,2025-04-22 09:00:53,R_9MEYHCkLdCBQcUT,anonymous,EN,1,3,1,"1,3",,4,"1,2,3,9,10,11,12",,,,,,,,,,,,,"2,3",7,,4,1,1,3,4,1,1,,"2,6",,"4,6",,"1,6,7",,,,,,,,,,2,"7,14",,,,,,,,,,,,,,"1,6","1,3,5",,"2,4,7",,7,2,,3,,,1,5,187,10,,1,7,21,8,,,,,,,Safety and dedicated cycle paths,"More cost effective bike gear, and workshops to learn bike maintenance ",,,,,,,,,,,4
2025-04-22 08:56:23,2025-04-22 09:07:36,0,100,672,1,2025-04-22 09:07:37,R_4fNTDsMWXWIiKbG,anonymous,EN,1,1,1,1,,5,"1,2,11,12",,,,,,,,,,,,,1,7,,4,4,3,1,1,2,,,,,"2,4,5,6,7",,"1,4,5,7",,3,"2,3,11",,,,,,,,,,,,,,,,,,,,,,"7,6","3,4,8",,"1,2,9,3,4,5,6,7",,7,1,,3,,,2,3,138,9,,1,2,22,9,The event that I recently joined (FAB cycling festival) made me aware that there were more people who are into riding the bike. I got inspired seeing them having fun and it is indeed a good way to be fit,"I would like to encourage more people to join the cycling community in Abu Dhabi. It will surely put you into shape, have more friends and it is a good way to participate in many sports activities in here (ex. triathlon)",,,,,,,,,,,,,,,,,4
2025-04-22 09:05:50,2025-04-22 09:13:38,0,100,467,1,2025-04-22 09:13:39,R_4KwRHoca5IORKi0,anonymous,EN,1,3,1,"3,4",,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,2",1,,4,1,1,2,1,1,"1,10",TT & Gravel & Tandem,"2,6",,,,7,,,,,,,,,,3,7,,,,,,,,,,,,,,1,"1,3,8",,"2,9",,1,3,"Too many Carsten, too dangerous drivers",3,,,1,6,64,10,,2,8,7,7,,,,,,,Dedicated cycling track in Al Qudra,Connecting neighbourhoods with cycling lanes/ tracks.,,,,,,,,,,,4
2025-04-22 09:09:51,2025-04-22 09:15:44,0,100,353,1,2025-04-22 09:15:44,R_6okHArjZsYCIodb,anonymous,EN,1,3,1,"1,3,4,6",,2,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,3,1,,4,1,1,4,3,1,"1,3,9",,2,,2,,"1,6",,,,,,,,,,4,"6,14",,,,,,,,,,,,,,1,3,,"1,2,9,4",,7,,,3,,,1,6,187,10,,1,8,24,7,,,,,,,Seeing Wolfi and his bulging biceps in a tight cycling jersey,More Wolfi clones,,,,,,,,,,,5
2025-04-22 09:07:21,2025-04-22 09:19:02,0,100,700,1,2025-04-22 09:19:03,R_1ftnn67emSHaHEl,anonymous,EN,1,3,1,"1,3",,2,"1,2,3,4,10,11,12",,,,,,,,,,,,,"1,3",1,,4,1,1,4,4,1,1,,2,,2,,"1,4,5,6,7",,,,,,,,,,1,7,,,,,,,,,,,,,,1,1,,"2,9,3",,1,3,TOO DANGEROUS,3,,,1,7,170,10,,6,7,,4,,,,,,,CYCLE TRACKS,MORE SAFE CYCLE LANES,,,,,,,,,,,4
2025-04-22 09:10:28,2025-04-22 09:25:35,0,100,907,1,2025-04-22 09:25:36,R_5ff3INDz5PhlwZl,anonymous,EN,1,3,2,,,,,"1,2,3,5",Fond of cycling instead machines,4,"1,2,3,4,5,9,10,11,12",,,,,,,,,1,12,I ride well but not a professional rider,4,3,3,4,3,1,"4,7,10","Manual bicycle ","2,4",,,,7,,,,,,,,,,3,"15,13",DIP 1,,,,,,,,,,,,,"1,2","1,8",,"2,9,5,6",,"1,2",1,,2,7,No such comcerns,1,4,131,9,,1,1,,10,,,,,,,"Good activity, healthy and affordable ride","Cost effective, more awareness ",,,,,,,,,,,4
2025-04-22 09:22:51,2025-04-22 09:29:06,0,100,374,1,2025-04-22 09:29:06,R_9Jl9Ly4Keyb4n5j,anonymous,EN,1,3,1,3,,3,"1,2,3,4,11,12",,,,,,,,,,,,,2,1,,4,1,1,4,1,1,"1,2,3",,"2,6",,"2,6",,"1,4,5,6,7",,,,,,,,,,1,"7,8,14",,,,,,,,,,,,,,4,"1,5,7",,"1,2,9",,1,1,,3,,,1,4,162,6,,1,7,,8,,,,,,,Safety and bike lanes,"I would say more exposure, like fun/group rides",,,,,,,,,,,4
2025-04-22 09:24:24,2025-04-22 09:29:26,0,100,302,1,2025-04-22 09:29:27,R_4bXSWZRVWTRrcQN,anonymous,EN,1,1,1,3,,2,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"2,3",7,,4,1,1,1,1,1,1,,"2,6",,6,,1,,4,"4,5,11",,,,,,,,,,,,,,,,,,,,,,1,"1,2,3",,"1,2,9,4,6",,7,,,2,1,,1,5,162,10,,1,7,16,10,Not sure as options are limited compared to Dubai,"More tracks and more options to cycle ",,,,,,,,,,,,,,,,,4
2025-04-22 09:20:43,2025-04-22 09:30:17,0,100,573,1,2025-04-22 09:30:17,R_4j1BgSnJBkCYhGR,anonymous,EN,1,3,1,"1,3,4",,2,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,3",12,"confident competitive with an awareness of potential hazzards ",4,1,1,4,4,1,"1,10",TT,"2,6",,"2,7",,"1,5,7",,,,,,,,,,1,7,,,,,,,,,,,,,,"1,2,6","1,3",,"2,9,5",,7,,,3,,,2,6,187,10,,2,1,10,4,,,,,,,"The dedicated cycling tracks ","Connecting the Al Qudra track to other facilities ",,,,,,,,,,,4
2025-04-22 09:30:27,2025-04-22 09:30:51,0,100,23,1,2025-04-22 09:30:51,R_9cjaz0JntGIGWVi,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
